"name","birth_year","email","affiliations","bio"
"Victor Klee",1997,"victor_klee@mail.com","University of Illinois at Chicago"," Etiam finibus, magna eget interdum tempus, ligula purus lacinia magna, et rhoncus neque ante sit amet magna"
"John Westwater",1984,"john_westwater@mail.com","MIT"," Aliquam consectetur commodo lobortis"
"Dieter Baum",1951,"dieter_baum@mail.com","Politecnico di Torino"," Morbi nec vestibulum orci"
"Florian Jarre",1998,"florian_jarre@mail.com","The University of Edinburgh"," Aliquam tempus efficitur ante eget dignissim"
"Anna Slobodová",1993,"anna_slobodová@mail.com","Technical University of Munich"," Duis blandit dictum ex at elementum"
"Rainer Tichatschke",1985,"rainer_tichatschke@mail.com","University of Illinois at Chicago"," Integer arcu velit, pharetra venenatis euismod pellentesque, lobortis id erat"
"Alexander Kaplan",1951,"alexander_kaplan@mail.com","Politecnico di Milano"," Nullam mattis ullamcorper leo a interdum"
"Tim Voetmann",1957,"tim_voetmann@mail.com","Technical University of Munich"," Aliquam erat volutpat"
"M. Böhm",1971,"m._böhm@mail.com","Technical University of Munich"," Aenean laoreet sed lacus vel ullamcorper"
"Artur Czumaj",1956,"artur_czumaj@mail.com","Politecnico di Milano"," Vivamus pretium eleifend sapien laoreet vehicula"
"Przemyslawa Kanarek",1955,"przemyslawa_kanarek@mail.com","Politecnico di Milano"," Donec dui nulla, varius eu eros nec, consequat tempus augue"
"Miroslaw Kutylowski",1967,"miroslaw_kutylowski@mail.com","Technical University of Munich"," Ut ligula elit, pharetra non turpis a, vehicula rutrum nulla"
"Krzysztof Lorys",1962,"krzysztof_lorys@mail.com","Technical University of Munich"," Donec commodo dolor id cursus scelerisque"
"Klaus Jansen",1998,"klaus_jansen@mail.com","Politecnico di Torino"," Etiam dapibus lorem id arcu congue, at tempus felis porttitor"
"Klaus Lux",1995,"klaus_lux@mail.com","University of Illinois at Chicago"," Integer non est ex"
"Markus Wiegelmann",1997,"markus_wiegelmann@mail.com","The University of Edinburgh"," Nunc nisi justo, vehicula eget finibus eget, fermentum id justo"
"Helmut Seidl",1980,"helmut_seidl@mail.com","Technical University of Munich"," Vestibulum vitae nibh sollicitudin metus maximus tempor"
"Christian Fecht",1963,"christian_fecht@mail.com","Politecnico di Torino","  Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"Jordan Gergov",1984,"jordan_gergov@mail.com","ETH Zurich"," Nunc a leo cursus, aliquet libero vitae, ornare erat"
"Harald Luschgy",1969,"harald_luschgy@mail.com","University of Illinois at Chicago"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Matthias Heinkenschloss",1964,"matthias_heinkenschloss@mail.com","The University of Edinburgh"," Lorem ipsum dolor sit amet, consectetur adipiscing elit"
"Bernd Sturmfels",1976,"bernd_sturmfels@mail.com","University of Illinois at Chicago"," Donec sodales feugiat nibh, in efficitur purus ultricies at"
"Christian Stangier",1960,"christian_stangier@mail.com","The University of Edinburgh"," Suspendisse potenti"
"Arno Wagner",1986,"arno_wagner@mail.com","Technical University of Munich"," Sed ornare, risus eu congue fermentum, libero enim lobortis tortor, in porta magna lorem vel nibh"
"Mirjam Dür",1986,"mirjam_dür@mail.com","MIT"," Vestibulum magna turpis, porta in dolor vitae, pharetra hendrerit ligula"
"Reiner Horst",1960,"reiner_horst@mail.com","MIT"," Ut a aliquet dui, nec cursus enim"
"Beniamino Di Martino",1952,"beniamino_di_martino@mail.com","Technical University of Munich"," Nulla tempor, lorem sit amet congue elementum, lectus lorem rutrum nibh, id dictum risus erat sed mi"
"Christoph W. Keßler",1950,"christoph_w._keßler@mail.com","The University of Edinburgh","  Nam in suscipit turpis, et ultricies arcu"
"Wei Zhou 0006",1988,"wei_zhou_0006@mail.com","The University of Edinburgh"," Phasellus maximus tortor a ex sollicitudin, in vulputate arcu posuere"
"Anna Bernasconi 0001",1960,"anna_bernasconi_0001@mail.com","Politecnico di Torino"," Phasellus faucibus vitae dui sit amet posuere"
"Igor E. Shparlinski",1975,"igor_e._shparlinski@mail.com","ETH Zurich"," Pellentesque maximus leo vel ex vehicula sagittis"
"Le Dung Muu",1984,"le_dung_muu@mail.com","ETH Zurich"," Nam quis eros quis dolor maximus fermentum nec id turpis"
"Kasyap Natarajan",1973,"kasyap_natarajan@mail.com","University of Illinois at Chicago"," In hac habitasse platea dictumst"
"Hubertus Th. Jongen",1992,"hubertus_th._jongen@mail.com","Politecnico di Torino"," Sed in molestie ante"
"Oliver Stein",1995,"oliver_stein@mail.com","The University of Edinburgh"," Mauris vel fermentum massa, sagittis eleifend ex"
"M. Nast",1993,"m._nast@mail.com","MIT"," Phasellus ultrices vehicula dictum"
"Lothar Breuer",1973,"lothar_breuer@mail.com","MIT"," Quisque vel lectus in ex finibus laoreet sed fermentum justo"
"Hannes Frey",1974,"hannes_frey@mail.com","Politecnico di Torino"," Sed non facilisis lorem, quis ullamcorper odio"
"Johannes K. Lehnert",1989,"johannes_k._lehnert@mail.com","The University of Edinburgh"," Nunc suscipit, purus a tempor ultricies, ex quam aliquet libero, non euismod dui arcu at dolor"
"Daniel Görgen",1973,"daniel_görgen@mail.com","Politecnico di Torino"," Vestibulum dictum mattis justo, nec faucibus augue accumsan ut"
"Peter Sturm 0001",1957,"peter_sturm_0001@mail.com","MIT"," Curabitur et cursus magna, in faucibus felis"
"Patrick Reuther",1994,"patrick_reuther@mail.com","Politecnico di Milano"," Ut lobortis et nulla at eleifend"
"E. Levitin",1955,"e._levitin@mail.com","MIT","  Donec dignissim enim nec lorem eleifend, quis auctor ante faucibus"
"Jürgen Huschens",1964,"jürgen_huschens@mail.com","ETH Zurich"," Proin sit amet lorem nec sem pretium ultrices ac sit amet dolor"
"Marco Fahl",1994,"marco_fahl@mail.com","Politecnico di Milano"," In quis fringilla justo"
"Andreas Neumann 0001",1967,"andreas_neumann_0001@mail.com","University of Illinois at Chicago"," Morbi consequat ultricies ipsum, rhoncus porta eros euismod ut"
"Randal E. Bryant",1966,"randal_e._bryant@mail.com","Politecnico di Torino","  Sed laoreet sem non ante gravida eleifend"
"Subhendu Bikash Hazra",1986,"subhendu_bikash_hazra@mail.com","Politecnico di Milano"," Donec ornare et lacus euismod dignissim"
"Volker Schulz 0001",1951,"volker_schulz_0001@mail.com","Politecnico di Torino"," Suspendisse non finibus mi"
"Elena Dubrova",1988,"elena_dubrova@mail.com","Politecnico di Milano"," Donec tristique ac risus id auctor"
"Horst Schmitt",1996,"horst_schmitt@mail.com","Technical University of Munich"," Proin pellentesque, diam ac pellentesque egestas, libero tellus bibendum nisl, at dictum magna libero vitae metus"
"Peter Willems",1977,"peter_willems@mail.com","Technical University of Munich"," Duis id augue varius, facilisis felis nec, placerat lacus"
"Igor N. Kovalenko",1956,"igor_n._kovalenko@mail.com","Politecnico di Milano"," Donec libero orci, dignissim sit amet facilisis sed, tristique in purus"
"R. J. Gardner",1994,"r._j._gardner@mail.com","Politecnico di Torino"," Quisque orci risus, fermentum in turpis vitae, lacinia tempus arcu"
"Dieter Prangenberg",1976,"dieter_prangenberg@mail.com","Politecnico di Torino","  Vestibulum elementum pretium velit, ut luctus quam ultricies porta"
"János Sztrik",1970,"jános_sztrik@mail.com","Politecnico di Milano"," Aenean pretium felis in augue vulputate, porta cursus eros aliquet"
"Oliver Möller",1960,"oliver_möller@mail.com","The University of Edinburgh"," Vestibulum orci tortor, fringilla id nunc a, molestie convallis lectus"
"Ulrich Hertrampf",1954,"ulrich_hertrampf@mail.com","Technical University of Munich"," Nunc sollicitudin neque at gravida mollis"
"Thomas Burger",1960,"thomas_burger@mail.com","University of Illinois at Chicago"," Nulla tristique sapien non turpis semper, et porttitor felis posuere"
"Jochen Bern",1994,"jochen_bern@mail.com","Politecnico di Torino","  Integer dapibus mauris quis eros vestibulum, ut malesuada risus laoreet"
"Heidi Jäger",1953,"heidi_jäger@mail.com","Politecnico di Torino"," Vestibulum et nisl ut risus vestibulum faucibus non sed sem"
"Thomas Erlebach",1988,"thomas_erlebach@mail.com","MIT"," Aenean ornare tempus sapien, gravida bibendum mi consectetur at"
"Flemming Nielson",1966,"flemming_nielson@mail.com","Politecnico di Torino"," Nulla commodo tortor ut nibh posuere, quis ultricies neque mollis"
"Gurami Tsitsiashvili",1974,"gurami_tsitsiashvili@mail.com","Politecnico di Milano"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"Patrick Justen",1972,"patrick_justen@mail.com","MIT"," Aliquam commodo non ante porta mattis"
"Klaus Schwettmann",1956,"klaus_schwettmann@mail.com","Politecnico di Milano"," Cras mollis et est non cursus"
"Ulrich Raber",1959,"ulrich_raber@mail.com","Politecnico di Milano"," Aliquam erat volutpat"
"Fabio Somenzi",1995,"fabio_somenzi@mail.com","University of Illinois at Chicago"," Sed in augue pharetra, facilisis metus a, cursus nibh"
"Thorsten Theobald",1970,"thorsten_theobald@mail.com","Technical University of Munich"," Nulla pharetra, ex vel lacinia laoreet, sem est maximus nunc, quis posuere massa metus a velit"
"Abdelouahed Hamdi",1987,"abdelouahed_hamdi@mail.com","University of Illinois at Chicago"," Vestibulum eu velit at purus accumsan hendrerit"
"Attahiru Sule Alfa",1970,"attahiru_sule_alfa@mail.com","Technical University of Munich"," Suspendisse quam sem, commodo ut massa sed, consectetur tempor mi"
"Siegfried Graf",1998,"siegfried_graf@mail.com","Technical University of Munich"," Fusce et elit nulla"
"Jens Hofmann 0001",1954,"jens_hofmann_0001@mail.com","MIT"," Fusce nisl lectus, tincidunt maximus vulputate congue, varius eu nisi"
"Norbert Th. Müller",1986,"norbert_th._müller@mail.com","University of Illinois at Chicago"," Ut congue dapibus lacus et finibus"
"Jan-J. Rückmann",1986,"jan-j._rückmann@mail.com","Technical University of Munich"," Morbi blandit massa quis ex hendrerit, venenatis bibendum justo porta"
"Volker Klotz",1978,"volker_klotz@mail.com","University of Illinois at Chicago"," Pellentesque bibendum venenatis erat at mollis"
"Dimitri Efrosinin",1977,"dimitri_efrosinin@mail.com","Politecnico di Torino"," Aliquam sit amet urna sem"
"Vladimir Rykov",1952,"vladimir_rykov@mail.com","ETH Zurich","  Morbi dignissim elementum mauris nec mattis"
"Hans L. Bodlaender",1999,"hans_l._bodlaender@mail.com","The University of Edinburgh"," Pellentesque fringilla erat et iaculis venenatis"
"Gerhard J. Woeginger",1954,"gerhard_j._woeginger@mail.com","Politecnico di Torino"," Donec malesuada, turpis ut iaculis efficitur, sem ipsum varius odio, quis dignissim urna lectus in lectus"
"Michael Ruvimovich Davidson",1950,"michael_ruvimovich_davidson@mail.com","MIT","  Curabitur lobortis iaculis congue"
"Stephan Waack",1961,"stephan_waack@mail.com","The University of Edinburgh"," Nunc non dictum diam"
"Holger Class",1971,"holger_class@mail.com","MIT"," Sed nec pellentesque quam, vestibulum dictum mi"
"Rainer Helmig",1991,"rainer_helmig@mail.com","Politecnico di Milano"," Integer non est ex"
"Katja Lenz",1985,"katja_lenz@mail.com","University of Illinois at Chicago"," Nunc non dictum diam"
"Alexander Hufnagel",1992,"alexander_hufnagel@mail.com","Politecnico di Milano"," Nullam iaculis neque aliquet orci vulputate, nec cursus elit ornare"
"David G. Larman",1974,"david_g._larman@mail.com","Politecnico di Torino"," Donec consequat leo dolor, non hendrerit dolor faucibus nec"
"D. Kleis",1959,"d._kleis@mail.com","University of Illinois at Chicago"," Nunc sollicitudin fermentum sapien, quis euismod enim varius non"
"Petra Scheffler",1983,"petra_scheffler@mail.com","Politecnico di Milano"," Cras turpis massa, volutpat vel fermentum ac, tempor nec quam"
"Stasys Jukna",1976,"stasys_jukna@mail.com","Politecnico di Torino"," Praesent sit amet dictum sapien"
"Mikail Gevantmakher",1989,"mikail_gevantmakher@mail.com","University of Illinois at Chicago"," Phasellus vehicula ante ut leo ornare pulvinar"
"Tankred Rautert",1962,"tankred_rautert@mail.com","Politecnico di Torino"," Sed eu turpis quis urna semper pulvinar molestie a lacus"
"Luciano Lenzini",1956,"luciano_lenzini@mail.com","Technical University of Munich"," Sed molestie interdum quam in venenatis"
"S. Rotin",1995,"s._rotin@mail.com","MIT"," Phasellus dapibus mi risus, sagittis sodales nisi euismod mollis"
"Dirk Frosch",1972,"dirk_frosch@mail.com","The University of Edinburgh"," Aenean accumsan diam dictum enim tincidunt, at tempor ex blandit"
"Craig Smith",1966,"craig_smith@mail.com","Technical University of Munich"," Curabitur aliquam aliquam efficitur"
"Vladimir V. Kalashnikov",1958,"vladimir_v._kalashnikov@mail.com","Technical University of Munich","  Curabitur lorem urna, ultrices vitae efficitur eu, varius eget risus"
"N. Lehdili",1954,"n._lehdili@mail.com","MIT"," Pellentesque euismod ultrices eleifend"
"C. Ould Ahmed Salem",1962,"c._ould_ahmed_salem@mail.com","University of Illinois at Chicago"," Nullam commodo, magna nec cursus maximus, ex odio rhoncus augue, sed imperdiet nisi nunc non sapien"
"Matthias Krause 0001",1964,"matthias_krause_0001@mail.com","MIT"," Donec posuere, velit sed accumsan tempor, orci felis luctus eros, eu convallis elit augue quis nunc"
"Andreas Brieden",1962,"andreas_brieden@mail.com","ETH Zurich"," Ut elit magna, blandit sed elementum in, consequat ac ligula"
"Marco Gilbert",1962,"marco_gilbert@mail.com","ETH Zurich"," Ut tellus dui, pharetra maximus ex quis, efficitur pretium libero"
"Lars Abbe",1992,"lars_abbe@mail.com","ETH Zurich"," Curabitur rhoncus suscipit risus, ut consequat dolor suscipit vel"
"Sebastian Maneth",1951,"sebastian_maneth@mail.com","The University of Edinburgh"," Donec tristique ac risus id auctor"
"Thomas Perst",1964,"thomas_perst@mail.com","The University of Edinburgh"," Ut venenatis felis vitae dui tempus facilisis"
"Helmut Finner",1980,"helmut_finner@mail.com","MIT"," Cras id cursus ligula"
"Markus Roters",1990,"markus_roters@mail.com","Technical University of Munich"," Pellentesque sit amet lacus sit amet metus efficitur auctor"
"Jirí Sgall",1956,"jirí_sgall@mail.com","Politecnico di Torino"," Donec lobortis vestibulum quam, sed consequat massa elementum in"
"M. A. Osipova",1990,"m._a._osipova@mail.com","ETH Zurich"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"N. V. Koliev",1991,"n._v._koliev@mail.com","MIT"," Curabitur sit amet arcu consequat, ultrices lacus nec, consectetur lorem"
"Oleg V. Khamisov",1954,"oleg_v._khamisov@mail.com","Politecnico di Torino"," Aliquam erat volutpat"
"Markus Holzer 0001",1962,"markus_holzer_0001@mail.com","The University of Edinburgh"," In hac habitasse platea dictumst"
"Varmo Vene",1969,"varmo_vene@mail.com","University of Illinois at Chicago"," Sed tincidunt enim id elit suscipit, a tempor dolor tempus"
"Markus Müller-Olm",1990,"markus_müller-olm@mail.com","Politecnico di Torino"," Aenean dignissim enim quis justo consectetur iaculis"
"Feng Cheng 0002",1988,"feng_cheng_0002@mail.com","ETH Zurich"," Mauris eleifend, tellus ac vulputate placerat, libero lorem sodales turpis, et scelerisque ante urna vel libero"
"Paul Ferring",1979,"paul_ferring@mail.com","MIT"," Ut tellus dui, pharetra maximus ex quis, efficitur pretium libero"
"Martin Luckow",1969,"martin_luckow@mail.com","MIT"," Proin sit amet lorem nec sem pretium ultrices ac sit amet dolor"
"Dirk Frosch-Wilke",1969,"dirk_frosch-wilke@mail.com","The University of Edinburgh"," Phasellus quis dapibus mi, vel mattis ipsum"
"Judy Goldsmith",1956,"judy_goldsmith@mail.com","University of Illinois at Chicago"," Vivamus luctus cursus nibh, eu volutpat sapien sodales id"
"Christopher Lusena",1973,"christopher_lusena@mail.com","Technical University of Munich"," Etiam id est vel ex malesuada placerat"
"Eric Allender",1957,"eric_allender@mail.com","University of Illinois at Chicago","  Etiam hendrerit rutrum diam, sit amet tincidunt velit ullamcorper vel"
"Rainer Hettich",2000,"rainer_hettich@mail.com","Politecnico di Torino"," Cras mollis et est non cursus"
"Matthias Transier",1997,"matthias_transier@mail.com","Technical University of Munich"," Nam mollis dignissim neque ac sollicitudin"
"Wolfgang Effelsberg",1954,"wolfgang_effelsberg@mail.com","MIT"," Suspendisse at elit est"
"Aditya V. Nori",1964,"aditya_v._nori@mail.com","Technical University of Munich"," Nunc vulputate condimentum semper"
"Anthony J. Hayter",1992,"anthony_j._hayter@mail.com","MIT"," Pellentesque posuere urna vehicula tellus finibus scelerisque"
"Joachim Reiter",1971,"joachim_reiter@mail.com","Politecnico di Milano"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"Rustam Mubarakzjanov",1976,"rustam_mubarakzjanov@mail.com","Technical University of Munich"," Etiam ultrices aliquam lacus, in hendrerit massa pretium in"
"Ulrich Holtmann",1964,"ulrich_holtmann@mail.com","Politecnico di Torino"," Suspendisse non tortor et lacus suscipit pellentesque"
"C. T. Kelley",1958,"c._t._kelley@mail.com","ETH Zurich","  Ut sed varius nisl, eleifend sollicitudin quam"
"Peter Rossmanith",1998,"peter_rossmanith@mail.com","Technical University of Munich"," Nulla felis magna, consequat ut ante accumsan, ornare varius ex"
"Michael Schmitt 0002",1992,"michael_schmitt_0002@mail.com","Politecnico di Milano","  Cras et convallis dolor, id tincidunt elit"
"Gianpiero Cabodi",1958,"gianpiero_cabodi@mail.com","MIT","  Etiam et viverra lorem"
"Stefano Quer",1994,"stefano_quer@mail.com","Technical University of Munich"," Etiam porttitor urna interdum diam posuere, ut facilisis elit lobortis"
"Ditmar Erdmann",1956,"ditmar_erdmann@mail.com","University of Illinois at Chicago","  Duis laoreet, nunc at tincidunt consectetur, est lectus rutrum arcu, ut tempus turpis nunc quis dolor"
"Volker Schmidt",1981,"volker_schmidt@mail.com","MIT"," Nunc cursus hendrerit velit sed maximus"
"Peter Dierolf",1959,"peter_dierolf@mail.com","Politecnico di Milano"," Donec sem tellus, fringilla nec dictum vitae, dignissim id ligula"
"Paul B. Hermanns",1956,"paul_b._hermanns@mail.com","The University of Edinburgh"," Fusce malesuada nec purus a ornare"
"Markus R. Schmidt",1978,"markus_r._schmidt@mail.com","The University of Edinburgh"," Etiam ultrices nulla odio, ut vehicula dolor pretium et"
"Clemens Lautemann",1953,"clemens_lautemann@mail.com","University of Illinois at Chicago"," Etiam ac luctus nunc"
"Thomas Schwentick",1974,"thomas_schwentick@mail.com","MIT"," Pellentesque sit amet mollis sem"
"Heribert Vollmer",1983,"heribert_vollmer@mail.com","MIT","  Interdum et malesuada fames ac ante ipsum primis in faucibus"
"Klaus W. Wagner",1994,"klaus_w._wagner@mail.com","MIT"," Aenean vel mi eu quam consequat fermentum"
"B. S. Tam",1950,"b._s._tam@mail.com","Politecnico di Torino"," In ligula elit, faucibus nec quam non, cursus fermentum ex"
"Jacques Wainer",1950,"jacques_wainer@mail.com","University of Illinois at Chicago"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Michael Eckmann",1975,"michael_eckmann@mail.com","The University of Edinburgh"," Sed cursus auctor velit, a ultricies nisi egestas eget"
"Siome Goldenstein",1986,"siome_goldenstein@mail.com","University of Illinois at Chicago"," Donec sodales feugiat nibh, in efficitur purus ultricies at"
"Anderson Rocha 0001",1995,"anderson_rocha_0001@mail.com","Technical University of Munich"," Curabitur porttitor vulputate mauris at placerat"
"Arnon Rosenthal",1965,"arnon_rosenthal@mail.com","The University of Edinburgh"," Ut pharetra ligula in orci viverra venenatis"
"C. J. Date 0001",1960,"c._j._date_0001@mail.com","University of Illinois at Chicago"," Nam quis enim tristique, imperdiet velit sit amet, ultrices mauris"
"Rita Ley",1966,"rita_ley@mail.com","Technical University of Munich"," Fusce a libero lectus"
"Markus Casper",1985,"markus_casper@mail.com","University of Illinois at Chicago"," Fusce non mi pellentesque, consequat mauris sed, semper urna"
"Hugo Hellebrand",1973,"hugo_hellebrand@mail.com","Technical University of Munich"," In eu aliquam nibh"
"Ralf Merz",1998,"ralf_merz@mail.com","ETH Zurich"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"John Lions",1967,"john_lions@mail.com","Politecnico di Torino"," Nulla facilisi"
"Patrick A. V. Hall",1964,"patrick_a._v._hall@mail.com","ETH Zurich"," Nullam porttitor lacus dictum enim tristique, ac commodo diam accumsan"
"Markus Tresch",1985,"markus_tresch@mail.com","The University of Edinburgh"," Quisque sit amet egestas nisl, ac blandit ligula"
"Gayane Grigoryan",1967,"gayane_grigoryan@mail.com","ETH Zurich"," Sed non nisi non lorem commodo congue"
"Oliver Gronz",1997,"oliver_gronz@mail.com","Politecnico di Milano"," Sed et rhoncus tellus"
"Oliver Gutjahr",1956,"oliver_gutjahr@mail.com","Politecnico di Milano"," Maecenas nibh est, accumsan a vehicula sit amet, consequat non orci"
"Günther Heinemann",1979,"günther_heinemann@mail.com","University of Illinois at Chicago"," Curabitur eget est et odio scelerisque euismod"
"Andreas Rock",1977,"andreas_rock@mail.com","Technical University of Munich"," Curabitur elementum, ex eget dictum euismod, dolor nibh eleifend massa, vel ullamcorper tortor tellus et arcu"
"Stephan Vollmer",1960,"stephan_vollmer@mail.com","ETH Zurich"," Vivamus ac lacus ac nibh rutrum dapibus ultrices eget dui"
"Vanessa C. Klaas",1982,"vanessa_c._klaas@mail.com","Technical University of Munich"," Suspendisse sollicitudin sem id aliquet congue"
"Kurt P. Brown",1961,"kurt_p._brown@mail.com","The University of Edinburgh"," Morbi commodo felis at luctus lacinia"
"Tolga Yurek",1974,"tolga_yurek@mail.com","University of Illinois at Chicago"," Sed in metus elementum, molestie ex eget, vulputate lorem"
"Oliver Hoffmann 0002",1991,"oliver_hoffmann_0002@mail.com","University of Illinois at Chicago"," Vestibulum in purus nisl"
"Bir Bhanu",1973,"bir_bhanu@mail.com","Politecnico di Torino"," Donec suscipit nec enim sit amet elementum"
"Marijke De Soete",1988,"marijke_de_soete@mail.com","The University of Edinburgh"," Etiam a ex sed lectus aliquet mollis ac a sapien"
"Chen-Mou Cheng",1973,"chen-mou_cheng@mail.com","University of Illinois at Chicago"," Vestibulum et pulvinar leo"
"Shucheng Yu",1969,"shucheng_yu@mail.com","The University of Edinburgh"," Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus"
"Wenjing Lou",1990,"wenjing_lou@mail.com","The University of Edinburgh"," Vestibulum dictum mattis justo, nec faucibus augue accumsan ut"
"Kui Ren 0001",1970,"kui_ren_0001@mail.com","The University of Edinburgh"," Mauris lobortis, lacus in vestibulum congue, quam lorem laoreet quam, et elementum tellus dolor nec enim"
"Carlisle Adams",1974,"carlisle_adams@mail.com","ETH Zurich"," Curabitur sit amet auctor lectus, non tincidunt sapien"
"Alex Biryukov",1964,"alex_biryukov@mail.com","University of Illinois at Chicago"," Phasellus efficitur, metus id elementum fringilla, neque tellus commodo risus, tristique cursus odio turpis sit amet ante"
"Gerrit Bleumer",1954,"gerrit_bleumer@mail.com","ETH Zurich"," Phasellus at hendrerit ligula, sit amet consectetur ex"
"Carl M. Ellison",1970,"carl_m._ellison@mail.com","MIT"," Vivamus vitae purus nisl"
"David Naccache",1980,"david_naccache@mail.com","Politecnico di Torino"," Morbi in dolor at dui varius efficitur"
"Dan Boneh",1967,"dan_boneh@mail.com","Technical University of Munich"," Mauris mattis felis sit amet malesuada suscipit"
"Burt Kaliski",1978,"burt_kaliski@mail.com","MIT","  Cras ultricies ullamcorper volutpat"
"Burton S. Kaliski Jr.",1993,"burton_s._kaliski_jr.@mail.com","Politecnico di Milano"," Sed non facilisis lorem, quis ullamcorper odio"
"Friedrich L. Bauer",1983,"friedrich_l._bauer@mail.com","University of Illinois at Chicago"," Suspendisse at elit est"
"Peter Landrock",1986,"peter_landrock@mail.com","Technical University of Munich"," Nunc consequat maximus dui, finibus molestie ligula convallis vel"
"Lars R. Knudsen",1994,"lars_r._knudsen@mail.com","University of Illinois at Chicago"," Vivamus venenatis pretium felis, vitae viverra ex viverra quis"
"Stan Z. Li",1971,"stan_z._li@mail.com","The University of Edinburgh"," Aenean sollicitudin cursus odio sed pellentesque"
"Sean W. Smith",1968,"sean_w._smith@mail.com","The University of Edinburgh"," Maecenas non erat id augue tempor euismod vitae quis magna"
"Brian Wongchaowart",1994,"brian_wongchaowart@mail.com","MIT"," Aenean suscipit fermentum ex, vitae sagittis ex commodo eu"
"Adam J. Lee",1959,"adam_j._lee@mail.com","Politecnico di Milano"," Ut sit amet mollis erat"
"Yvo Desmedt",1974,"yvo_desmedt@mail.com","Technical University of Munich"," Aliquam et erat justo"
"Berry Schoenmakers",1957,"berry_schoenmakers@mail.com","Politecnico di Milano"," Maecenas egestas arcu ut mauris venenatis consequat"
"Anne Canteaut",1956,"anne_canteaut@mail.com","ETH Zurich"," Praesent quis lectus sit amet velit elementum imperdiet quis et turpis"
"Nicolas Sendrier",1981,"nicolas_sendrier@mail.com","MIT"," Mauris quis diam nisl"
"Adi Shamir",1990,"adi_shamir@mail.com","The University of Edinburgh","  Proin ac nisi id dui tristique tincidunt"
"Eran Tromer",1986,"eran_tromer@mail.com","Politecnico di Torino"," Morbi non elementum lectus, a tristique arcu"
"Christophe De Cannière",1958,"christophe_de_cannière@mail.com","Politecnico di Milano"," Sed eget lacus molestie, fringilla nulla eget, hendrerit ante"
"Catherine A. Meadows",1966,"catherine_a._meadows@mail.com","Technical University of Munich"," Ut cursus nisi eget mauris ornare, eget cursus justo ornare"
"Pierangela Samarati",1982,"pierangela_samarati@mail.com","Politecnico di Torino"," Quisque vestibulum a diam ut mattis"
"Angelika Plate",1977,"angelika_plate@mail.com","Technical University of Munich"," Lorem ipsum dolor sit amet, consectetur adipiscing elit"
"Clemens Heinrich",1975,"clemens_heinrich@mail.com","University of Illinois at Chicago"," Nullam a tellus id sem elementum gravida"
"Stefan Köpsell",1982,"stefan_köpsell@mail.com","Politecnico di Torino"," Integer elit augue, faucibus at massa quis, sollicitudin feugiat ligula"
"Kazue Sako",1963,"kazue_sako@mail.com","ETH Zurich","  Mauris placerat libero id pharetra lobortis"
"Bodo Möller",1977,"bodo_möller@mail.com","ETH Zurich"," Curabitur finibus velit at sem pulvinar, vel volutpat augue varius"
"Tanja Lange 0001",1981,"tanja_lange_0001@mail.com","Politecnico di Torino"," In sed massa a elit efficitur euismod a vitae tellus"
"Arun Ross",1966,"arun_ross@mail.com","Politecnico di Milano"," Etiam at erat vitae urna aliquet ullamcorper"
"Jim Alves-Foss",1993,"jim_alves-foss@mail.com","Technical University of Munich"," Sed in molestie ante"
"Ran Canetti",1993,"ran_canetti@mail.com","The University of Edinburgh","  In at risus ac velit congue fermentum et at lorem"
"Cristina Nita-Rotaru",1979,"cristina_nita-rotaru@mail.com","Politecnico di Torino"," Curabitur eu molestie justo"
"Reza Curtmola",1975,"reza_curtmola@mail.com","Politecnico di Torino"," Integer sit amet molestie velit"
"Bart Preneel",1986,"bart_preneel@mail.com","Politecnico di Torino"," Ut aliquet rutrum nisi, id ultricies tortor molestie a"
"Alessandro Campi",1992,"alessandro_campi@mail.com","Politecnico di Torino"," Maecenas eleifend mattis nibh, id condimentum mauris sodales in"
"Kim Nguyen",1996,"kim_nguyen@mail.com","The University of Edinburgh"," Nulla eget velit luctus, elementum sapien quis, vestibulum ligula"
"William Whyte",1981,"william_whyte@mail.com","Technical University of Munich"," Pellentesque vel odio semper, commodo ex id, venenatis ligula"
"Caroline Fontaine",1992,"caroline_fontaine@mail.com","The University of Edinburgh"," Etiam malesuada dignissim risus, quis laoreet magna lacinia nec"
"Gerald Brose",1971,"gerald_brose@mail.com","Politecnico di Torino"," Maecenas nisl mi, tincidunt sed rutrum iaculis, pellentesque at dolor"
"Matthias Schunter",1975,"matthias_schunter@mail.com","MIT"," Aliquam maximus blandit sem ut vulputate"
"Eric Cronin",1961,"eric_cronin@mail.com","Politecnico di Torino"," Donec eget hendrerit elit, eget euismod tortor"
